cleaned_tweet,label
ልዩ የተፈጥሮ ገፅታ የምስራቅ አፍሪካ የውሀ ማማ ጮቄ,1
ኢትዮጵያዊነቴ ተምታተውብኝ አያውቁም የሚል ይታከልበት,1
ሀሴትን ከበጎነት የሰው ልጅ በምድር ሲመላለስ ታላቅ የመንፈስ እርካታን ከሚያጎናፅፉት ተግባራት አንዱ ለተቸገረ መድህን ለወገንም አለኝታ መሆን ሲችል ብዙዎቻችንን,2
ለቅዳሚታችሁ በምትሰሩት ማንኛውም ነገር ምሉእነትና እርካታ ይሰማችሁ የአሁንነት ሀይል ለመንፈሳዊ የእውቀት ብርሀን መመሪያ በኤክሀርት ቶሌየተዘጋጀ መፅሀፍ,1
ኮንዶሚኒየም ከሆነ እመልሳለሁ ካልሆነ መልሴን አላባክንም,1
ስንታየሁም ኤልያስ ፓርላማ ለመግባት ያንሳቸዋል ደግሞ ሁለት ሰው ይዞ ፓርቲ ይመሰረታል ያለህ ማነው መቸም በእስክንድር በየምክኒያቱ ዱላ የማያነሳ የለም በመርህ የሚመራ ፅኑ ሰው ቢኖር አልቆም አላስቀምጥ አላችሁት,1
ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር,0
አሜሪካ ሱሌይማኒን በመግደል ቀይ መስመሩን ሳታልፍ አይቀርም ዜጎቿ አገሪቱን ለቀው እንዲወጡ አዝዛለች ጀለሶቿ ደግሞ እያሉ መለማመጥ ጀምረዋል,1
ይሄው አይደል የእውቀትሽ ጥግበሰሚ ሰሚ ከምትናገሪ ታሪክ አታነቢምደሞ ራስሽን አታስገምቺ,0
የሚባክን መኖር የለበትም ዳይ ስራ,1
የጎንደር ዩኒቨርሲቲ ተማሪዎችመምህራንና የአስተዳደር ሰራተኞቹ እርምጃ ወሰደ,1
አማራ ክልል ነገር ሲፈጠር የማያወግዝ ሰው የለም ከፖለቲከኛው እስከሊስትሮ ድረስ ኦሮሞ ክልል አሰቃቂ ሽብር ሲፈፅም ባላየ የሚያልፎት እንኳን ሊያወግዙ ይቅርና,1
ዛሬ ጁመአ በወሎ ኮንቦልቻ የተደረካ ከባድ መልክት ያለው የቃውሞ ሰልፍ ብልፅግና ፓርቲ ብልፅግናችሁን አሳዩን,2
ቢቢሲ ዘገበ ይባላል የሚባል ነገር ካለ አንተዉ ንገረን,0
አማራ ክልል ፈልቶበታል ልኩን ማስገባት ሙስሊሞችን ጠልቶ ሙስሊሞች በሚኖርባት ኦሮምያ ግንኙነትን አትሰበው,0
እረ የሆነ ነገር ፍጠሩና እንቅጩን ንገሩን እህህ እስከመቼ አሁንስ ይበቃል አያቴ መቀነቷን ፈታ ለግድቡ የከፈለችበትን ዋጋ እንኳን ሳትሞት እንድታየወ አድርጓት,0
ባህልን መሰረት ያደረጉ መገለጫዎች አሉት መገለጫዎቹም መደበኛና ኢመደበኛ በሆኑ ስርአታት ስር ሰደውና ጎልተው ሊይታዩ ይችላሉ የጎንዮሽ ኢእኩልነት አብላጫውን የፖለቲካ ንቅናቄ ሂደትን በሚቆጣ,1
ጥበበኛው የፍቅር አስተማሪ ቴዲ አፍሮ,2
የአቢይ አህመድ መንግስት ያደረጋቸውን በርካታ በጎ ተግባራት መዘርዘር ይቻላል ነገር የአንድ መንግስት የመጀመሪያ ሀላፊነት የሆነውን የዜጎችን ደህንነት በማስጠበቅ,1
ፅድቅና ኩነኔ ቢኖርም ባይኖርም ከክፋት ደግነት ሳይሻል አይቀርም ☕ፉት እያላችሁማ,2
መንግስት ሆይ ሀገሪቷን የማፍያ መፈንጫ እንድትሆን አትተዋት ሰላም አልፈልግም ብሎ ጉልበት ለመረጠ በእቅፍ አበባ ሳይሆን በሚደቁስ ጠንካራ ክንድ መቀበሉ የግድ,1
