tweet,sentiment
"ልዩ የተፈጥሮ ገፅታ *****የምስራቅ አፍሪካ የውሃ ማማ ጮቄ",neutral
@bobomaheder Global citizenንነቴ እና ኢትዮጵያዊነቴ ተምታተውብኝ አያውቁም የሚል ይታከልበት 😉,neutral
"RT @TechinEthiopia: ሐሴትን ከበጎነት !!! የሰው ልጅ በምድር ሲመላለስ ታላቅ የመንፈስ እርካታን ከሚያጎናፅፉት ተግባራት መካከል አንዱ ለተቸገረ መድህን፤ ለወገንም አለኝታ መሆን ሲችል እንደሆነ ብዙዎቻችንን…",mixed
"ለቅዳሚታችሁ 💚💛❤ አሁን በምትሰሩት ማንኛውም ነገር ምሉእነትና እርካታ ይሰማችሁ! የአሁንነት ሀይል -ለመንፈሳዊ የእውቀት ብርሃን መመሪያ በኤክሀርት ቶሌየተዘጋጀ መጽሐፍ ነው። https://t.co/RTi8kKKrd0 https://t.co/4YTikE0Amc",neutral
@tesfamaryam21 40/60 ኮንዶሚኒየም ከሆነ እመልሳለሁ ካልሆነ መልሴን አላባክንም!,neutral
@Jeberara1 ስንታየሁም ሆነ ኤልያስ ፓርላማ ለመግባት ምን ያንሳቸዋል??? ደግሞ ሁለት ሰው ብቻ ይዞ ፓርቲ ይመሰረታል ያለህ ማነው? መቸም በእስክንድር ላይ በየምክኒያቱ ዱላ የማያነሳ የለም?! በመርህ የሚመራ አንድ ፅኑ ሰው ቢኖር አልቆም አላስቀምጥ አላችሁት።,neutral
@woldeyes_t Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ,negative
ታኅሣሥ 10 ቀን 2012 በሞጣ ከተማ አስተዳደር በመስጅዶችና ሱቆች ላይ የደረሰውን የእሳት ቃጠሎ በማውገዝ የእስልምና ሃይማኖት ተከታዮች በባሕር ዳር ሠላማዊ ሠልፍ እያካሄዱ ይገኛሉ፡፡ #Ethiopia #EthioMuslim https://t.co/bd5u0Rutn4,mixed
አሜሪካ ሱሌይማኒን በመግደል ቀይ መስመሩን ሳታልፍ አይቀርም። ዜጎቿ አገሪቱን ለቀው እንዲወጡ አዝዛለች። ጀለሶቿ ደግሞ restrain እና de-escalate እያሉ መለማመጥ ጀምረዋል።,neutral
@haset_haset7 ይሄው ነው አይደል የእውቀትሽ ጥግ....በሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢም....ደሞ ራስሽን አታስገምቺ,negative
"@BirrkanF @abrshel @melak_abera የሚባክን ጊዜ መኖር የለበትም።
ዳይ ወደ ሥራ! 😜",neutral
የጎንደር ዩኒቨርሲቲ በ65 ተማሪዎች፣መምህራንና የአስተዳደር ሰራተኞቹ ላይ እርምጃ ወሰደ https://t.co/XgIaC5zu47,neutral
"አማራ ክልል አንድ ነገር ሲፈጠር የማያወግዝ ሰው የለም ከፖለቲከኛው እስከሊስትሮ ድረስ ኦሮሞ ክልል ግን አሰቃቂ ሽብር ሲፈፅም ባላየ ነው የሚያልፎት እንኳን ሊያወግዙ ይቅርና። https://t.co/MpfQKPioSX https://t.co/OqyUTiwuIH",neutral
ዛሬ ጁመዓ በወሎ ኮንቦልቻ የተደረካ ከባድ መልክት ያለው የቃውሞ ሰልፍ ብልፅግና ፓርቲ ብልፅግናችሁን አሳዩን https://t.co/JroefBrpBR,positive
RT @Gfasil: ቢቢሲ ዘገበ ይባላል? ሌላ የሚባል ነገር ካለ አንተዉ ንገረን! https://t.co/QABFhIamma,negative
አማራ ክልል ፈልቶበታል ልኩን ማስገባት ነው!!! ሙስሊሞችን ጠልቶ 85% ሙስሊሞች በሚኖርባት ኦሮምያ ጋር ግንኙነትን አትሰበው !!!,negative
"@seleshi_b_a እረ የሆነ ነገር ፍጠሩና እንቅጩን ንገሩን እህህ እስከመቼ 
አሁንስ ይበቃል አያቴ  መቀነቷን ፈታ ለግድቡ የከፈለችበትን ዋጋ እንኳን ሳትሞት እንድታየወ አድርጓት 😭",mixed
RT @BalchaEyob: ባህልን መሰረት ያደረጉ መገለጫዎች አሉት። መገለጫዎቹም መደበኛና ኢ-መደበኛ በሆኑ ስርዓታት ስር ሰደውና ጎልተው ሊይታዩ ይችላሉ። የጎንዮሽ ኢ-እኩልነት አብላጫውን የፖለቲካ ንቅናቄ ሂደትን በሚቆጣ…,neutral
ጥበበኛው የፍቅር አስተማሪ ቴዲ አፍሮ https://t.co/7En0HjdcgO,positive
RT @AlemayehuGK: የዐቢይ አህመድ መንግሥት ያደረጋቸውን በርካታ በጎ ተግባራት መዘርዘር ይቻላል፤ ነገር ግን የአንድ መንግሥት የመጀመሪያ ሐላፊነት የሆነውን የዜጎችን ደህንነት በማስጠበቅ ረገድ it has faile…,mixed
"ጽድቅና ኩነኔ 
 ቢኖርም ባይኖርም
ከክፋት ደግነት 
   ሳይሻል አይቀርም !!!

 👉☕ፉት እያላችሁማ😍😘 https://t.co/ZRKz21Piy9",positive
መንግስት ሆይ ሀገሪቷን የማፍያ መፈንጫ እንድትሆን አትተዋት - ሰላም አልፈልግም ብሎ ጉልበት ለመረጠ በእቅፍ አበባ ሳይሆን በሚደቁስ ጠንካራ ክንድ መቀበሉ የግድ ነው። https://t.co/UnahcSCVUT,neutral
